26-04-11 23:19:50.535 :   task: train
  gpu_ids: [0]
  log_path: ./log
  model_save: ./model_save
  pretained_path:[
    index: False
    path: ./model_save/model_best1.pth
  ]
  batch_size: 4
  nc: [16, 1]
  patch_size: [128, 128]
  stride_size: [16, 16]
  atoms: 50
  d_size: 3
  max_epoch: 1000
  stage: 3
  lr: 0.0001
  loss_function_index: 1
  n_channels: 1
  lambda_g: 0.1
  lambda_f: 0.05
  deep_w: 0.2
  train:[
    sigma: [15, 50]
    dataroot_H: ./dataset/gray_train_all
    H_size: 128
    n_channels: 1
  ]
  valid:[
    sigma: [15, 25, 50]
    dataroot_H: ./dataset/gray_test
    n_channels: 1
  ]
  opt_path: ./options/train_options.json
  is_train: True
  scale: 1

26-04-11 23:19:50.544 : 训练集大小: 1120
26-04-11 23:19:50.544 : 验证集数量: 720 (每个 sigma 一个 Dataset)
26-04-11 23:19:51.751 : Number of parameter: 3.26M
26-04-11 23:19:51.751 : start training...
26-04-11 23:53:49.958 :   sigma=15: loss=0.0393, psnr=31.7137, ssim=0.7704, attempted=1, valid=1
26-04-11 23:53:49.958 :   sigma=25: loss=0.0460, psnr=30.1490, ssim=0.6814, attempted=1, valid=1
26-04-11 23:53:49.958 :   sigma=50: loss=0.0577, psnr=28.5136, ssim=0.5492, attempted=1, valid=1
26-04-11 23:53:49.958 :   sigma=15: loss=0.0540, psnr=29.2699, ssim=0.8688, attempted=1, valid=1
26-04-11 23:53:49.959 :   sigma=25: loss=0.0643, psnr=27.3593, ssim=0.7999, attempted=1, valid=1
26-04-11 23:53:49.959 :   sigma=50: loss=0.0860, psnr=24.6496, ssim=0.5994, attempted=1, valid=1
26-04-11 23:53:49.959 :   sigma=15: loss=0.0403, psnr=31.5033, ssim=0.7561, attempted=1, valid=1
26-04-11 23:53:49.959 :   sigma=25: loss=0.0471, psnr=29.9798, ssim=0.6693, attempted=1, valid=1
26-04-11 23:53:49.959 :   sigma=50: loss=0.0598, psnr=28.1446, ssim=0.5358, attempted=1, valid=1
26-04-11 23:53:49.959 :   sigma=15: loss=0.0402, psnr=31.6218, ssim=0.7791, attempted=1, valid=1
26-04-11 23:53:49.959 :   sigma=25: loss=0.0479, psnr=29.8800, ssim=0.6822, attempted=1, valid=1
26-04-11 23:53:49.960 :   sigma=50: loss=0.0622, psnr=27.7553, ssim=0.5303, attempted=1, valid=1
26-04-11 23:53:49.960 :   sigma=15: loss=0.0387, psnr=31.8362, ssim=0.7468, attempted=1, valid=1
26-04-11 23:53:49.960 :   sigma=25: loss=0.0452, psnr=30.3416, ssim=0.6530, attempted=1, valid=1
26-04-11 23:53:49.960 :   sigma=50: loss=0.0551, psnr=29.0003, ssim=0.5493, attempted=1, valid=1
26-04-11 23:53:49.960 :   sigma=15: loss=0.0506, psnr=29.8670, ssim=0.8853, attempted=1, valid=1
26-04-11 23:53:49.960 :   sigma=25: loss=0.0611, psnr=27.7444, ssim=0.8198, attempted=1, valid=1
26-04-11 23:53:49.960 :   sigma=50: loss=0.0844, psnr=24.5935, ssim=0.5998, attempted=1, valid=1
26-04-11 23:53:49.961 :   sigma=15: loss=0.0286, psnr=34.6380, ssim=0.8180, attempted=1, valid=1
26-04-11 23:53:49.961 :   sigma=25: loss=0.0339, psnr=33.2408, ssim=0.7604, attempted=1, valid=1
26-04-11 23:53:49.961 :   sigma=50: loss=0.0441, psnr=31.9467, ssim=0.6989, attempted=1, valid=1
26-04-11 23:53:49.961 :   sigma=15: loss=0.0300, psnr=34.2402, ssim=0.7938, attempted=1, valid=1
26-04-11 23:53:49.961 :   sigma=25: loss=0.0351, psnr=32.9765, ssim=0.7373, attempted=1, valid=1
26-04-11 23:53:49.961 :   sigma=50: loss=0.0449, psnr=31.8038, ssim=0.6805, attempted=1, valid=1
26-04-11 23:53:49.961 :   sigma=15: loss=0.0215, psnr=37.6443, ssim=0.8852, attempted=1, valid=1
26-04-11 23:53:49.961 :   sigma=25: loss=0.0249, psnr=36.6252, ssim=0.8620, attempted=1, valid=1
26-04-11 23:53:49.962 :   sigma=50: loss=0.0336, psnr=35.1173, ssim=0.8291, attempted=1, valid=1
26-04-11 23:53:49.962 :   sigma=15: loss=0.0724, psnr=26.6475, ssim=0.8987, attempted=1, valid=1
26-04-11 23:53:49.962 :   sigma=25: loss=0.0819, psnr=25.1237, ssim=0.8579, attempted=1, valid=1
26-04-11 23:53:49.962 :   sigma=50: loss=0.1096, psnr=22.0038, ssim=0.7089, attempted=1, valid=1
26-04-11 23:53:49.962 :   sigma=15: loss=0.0582, psnr=28.7464, ssim=0.9196, attempted=1, valid=1
26-04-11 23:53:49.962 :   sigma=25: loss=0.0687, psnr=26.6788, ssim=0.8754, attempted=1, valid=1
26-04-11 23:53:49.962 :   sigma=50: loss=0.0966, psnr=23.0376, ssim=0.7187, attempted=1, valid=1
26-04-11 23:53:49.962 :   sigma=15: loss=0.0609, psnr=28.6355, ssim=0.8956, attempted=1, valid=1
26-04-11 23:53:49.964 :   sigma=25: loss=0.0711, psnr=26.8380, ssim=0.8455, attempted=1, valid=1
26-04-11 23:53:49.964 :   sigma=50: loss=0.0946, psnr=23.9292, ssim=0.6810, attempted=1, valid=1
26-04-11 23:53:49.964 :   sigma=15: loss=0.0383, psnr=32.0011, ssim=0.7562, attempted=1, valid=1
26-04-11 23:53:49.964 :   sigma=25: loss=0.0443, psnr=30.5478, ssim=0.6707, attempted=1, valid=1
26-04-11 23:53:49.964 :   sigma=50: loss=0.0556, psnr=29.0793, ssim=0.5667, attempted=1, valid=1
26-04-11 23:53:49.964 :   sigma=15: loss=0.0343, psnr=32.8849, ssim=0.8299, attempted=1, valid=1
26-04-11 23:53:49.964 :   sigma=25: loss=0.0414, psnr=31.1091, ssim=0.7504, attempted=1, valid=1
26-04-11 23:53:49.964 :   sigma=50: loss=0.0547, psnr=29.0511, ssim=0.6090, attempted=1, valid=1
26-04-11 23:53:49.965 :   sigma=15: loss=0.0362, psnr=32.7419, ssim=0.8519, attempted=1, valid=1
26-04-11 23:53:49.965 :   sigma=25: loss=0.0433, psnr=30.9963, ssim=0.7765, attempted=1, valid=1
26-04-11 23:53:49.965 :   sigma=50: loss=0.0576, psnr=28.8717, ssim=0.6109, attempted=1, valid=1
26-04-11 23:53:49.965 :   sigma=15: loss=0.0168, psnr=40.4779, ssim=0.9333, attempted=1, valid=1
26-04-11 23:53:49.965 :   sigma=25: loss=0.0198, psnr=39.4239, ssim=0.9201, attempted=1, valid=1
26-04-11 23:53:49.965 :   sigma=50: loss=0.0288, psnr=37.3090, ssim=0.8929, attempted=1, valid=1
26-04-11 23:53:49.965 :   sigma=15: loss=0.0448, psnr=30.9140, ssim=0.9271, attempted=1, valid=1
26-04-11 23:53:49.966 :   sigma=25: loss=0.0542, psnr=28.9312, ssim=0.8958, attempted=1, valid=1
26-04-11 23:53:49.966 :   sigma=50: loss=0.0750, psnr=25.9851, ssim=0.8302, attempted=1, valid=1
26-04-11 23:53:49.966 :   sigma=15: loss=0.0288, psnr=34.7726, ssim=0.8948, attempted=1, valid=1
26-04-11 23:53:49.966 :   sigma=25: loss=0.0352, psnr=32.8194, ssim=0.8461, attempted=1, valid=1
26-04-11 23:53:49.966 :   sigma=50: loss=0.0489, psnr=30.2681, ssim=0.7518, attempted=1, valid=1
26-04-11 23:53:49.966 :   sigma=15: loss=0.0378, psnr=31.9411, ssim=0.9110, attempted=1, valid=1
26-04-11 23:53:49.966 :   sigma=25: loss=0.0454, psnr=30.0772, ssim=0.8761, attempted=1, valid=1
26-04-11 23:53:49.966 :   sigma=50: loss=0.0632, psnr=26.9518, ssim=0.8163, attempted=1, valid=1
26-04-11 23:53:49.967 :   sigma=15: loss=0.0506, psnr=29.7196, ssim=0.8756, attempted=1, valid=1
26-04-11 23:53:49.967 :   sigma=25: loss=0.0617, psnr=27.6594, ssim=0.8115, attempted=1, valid=1
26-04-11 23:53:49.967 :   sigma=50: loss=0.0834, psnr=24.9002, ssim=0.6747, attempted=1, valid=1
26-04-11 23:53:49.967 :   sigma=15: loss=0.0354, psnr=32.6744, ssim=0.7817, attempted=1, valid=1
26-04-11 23:53:49.967 :   sigma=25: loss=0.0421, psnr=30.9721, ssim=0.6868, attempted=1, valid=1
26-04-11 23:53:49.967 :   sigma=50: loss=0.0519, psnr=29.5066, ssim=0.5796, attempted=1, valid=1
